	Source	Left	Target	Right	Type	Subject	Order	Arg0_gram	Verb_fin	Verb_gram	Obj	Arg1	Arg1_gram	Arg1_anim	Has_arg2	Arg2	Arg2_gram	Direct_meaning	Fact
1	wsport.free.fr	спрашивает: «Говорят, ты отравился?» Как будто	молнией меня ударило	. Откуда он мог это узнать?! Медленно повернулся	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
2	reaktivist.ru	херотень (за редким исключением). Какой	молнией её ударило	доподлинно неизвестно, но пластинка 2014	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	её	acc	1	0			0	0
3	s37blog.ru	например когда копали в запретной зоне),	молнией в него ударило	и т.п. Звоним оператору службы поддержки	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в него	в+acc	1	0			1	1
4	heblit.bravepages.com	его глазами, разинув рот, и вдруг будто	молнией меня ударило	. Ведь этот мальчишка похож чем-то на Игала	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
	biografija.ru	гроз. 26 июля 1753 года Рихман был убит	молнией, ударившей	в железный шест машины; Ломоносов в тот	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в железный шест	в+acc	0	0			1	1
5	kartasnov.ru	электронов, я чувствовал это, как будто	молнией в меня ударило	, неприятные ощущения. Не помню, что было	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в меня	в+acc	1	0			0	0
6	a-mud.ru	Когда Вас "страхует" лекарь, скорее всего,	молнией Вас не ударит	. Вот когда лекаря нет... А теперь добавлю	ins_acc	0	молния X ударить	ins	1	V,пе=непрош,ед,изъяв,3-л,сов	1	Вас	acc	1	0			1	0
	blogotshelnika.ru	Бог разгневался и послал жестокую грозу с	молнией, ударившей	в дерево и убившей всех игроков. Это и	nom_prep	1	молния X ударить	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в дерево	в+acc	0	0			1	1
7	reformed.org.ua	у неопалимой купины. Приведенный в ужас	молнией, которая ударила	в землю неподалеку от него, Лютер поклялся	ins_prep	0	молния ударить X	ins	1	V,пе=прош,ед,изъяв,жен,сов	0	в землю	в+acc	0	0			1	1
	vlklit.ru	со слов родни, что тогда их чуть не убило	молнией, ударившей	в соседнее дерево. С тараканами же, напротив	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в соседнее дерево	в+acc	0	0			1	1
	drunkcow.net	отправился покорять горный хребет и был убит	молнией, ударившей	в палку для селфи. Чем он думал, отправляясь	nom_prep	1	молния ударить X	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в палку	в+acc	0	0			1	1
