Source	Left	Target	Right	Type	Subject	Order	Arg0_gram	Verb_fin	Verb_gram	Obj	Arg1	Arg1_gram	Arg1_anim	Has_arg2	Arg2	Arg2_gram	Direct_meaning	Fact
wsport.free.fr	спрашивает: «Говорят, ты отравился?» Как будто	молнией меня ударило	. Откуда он мог это узнать?! Медленно повернулся	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
reaktivist.ru	херотень (за редким исключением). Какой	молнией её ударило	доподлинно неизвестно, но пластинка 2014	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	её	acc	1	0			0	0
s37blog.ru	например когда копали в запретной зоне),	молнией в него ударило	и т.п. Звоним оператору службы поддержки	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в него	в+acc	1	0			1	1
heblit.bravepages.com	его глазами, разинув рот, и вдруг будто	молнией меня ударило	. Ведь этот мальчишка похож чем-то на Игала	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
kartasnov.ru	электронов, я чувствовал это, как будто	молнией в меня ударило	, неприятные ощущения. Не помню, что было	ins_prep	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	0	в меня	в+acc	1	0			0	0
a-mud.ru	Когда Вас "страхует" лекарь, скорее всего,	молнией Вас не ударит	. Вот когда лекаря нет... А теперь добавлю	ins_acc	0	молния X ударить	ins	1	V,пе=непрош,ед,изъяв,3-л,сов	1	Вас	acc	1	0			1	0
vladimirpozner.ru	одной стороны. С другой стороны, буквально	молнией меня ударило	, когда я вдруг понял, что вот я откуда,	ins_acc	0	молния X ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
esenin.su	было — вот так же шел по жнивью, и меня как	молнией вдруг ударило	, и вся музыка поэмы памяти Есенина у меня	ins_acc	0	X молния ударить	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	меня	acc	1	0			0	0
new.topos.ru	небо и тут же в мгновение ока был испепелён	ударившей в него молнией	. Но и молния, которая есть Сверхчеловек	nom_prep	1	ударить X молния	ins	0	V,пе=прош,твор,ед,прич,полн,жен,сов,действ	0	в него	в+acc	1	0			1	1
newtimes.ru	выяснилось, уже звонили, но, видимо, и там всех	ударило какой-то шаровой молнией	, а то и похуже. Росрыболовство не отвечало	ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	всех	acc	1	0			1	0
oopros.ru	Срочно!1500 руб.! Мужчины и женщины, которых	ударило током или молнией	и остались следы (ожоги) на теле.Cрочно	ins_acc	0	X ударить молния	ins	1	V,пе=прош,ед,изъяв,сред,сов	1	которых	acc	1	0			1	0
rusvera.mrezha.ru	время грозы в открытую форточку влетела	молния и ударила	его и еще двух монашек. Их сразу вынесли	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
lib.rus.ec	, когда придет их время. Вдруг блеснула	молния. Она ударила	прямо в жреца. И он упал бездыханный. Толпа	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в жреца	в+acc	1	0			1	1
psycholevity.com	накрываюсь накидкой (это гарантирует, что	молния меня не ударит	) и одним глазком наблюдаю страшную картину	nom_acc	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	1	меня	acc	1	0			1	0
gali-fe-du.ru	умыться с утра – нечисть радовать, да и	молния может ударить	в грязнулю. Умывались всегда как можно	nom_prep	1	молния ударить X	nom	1	V,пе=инф,сов	0	в грязнулю	в+acc	1	0			1	0
elektroas.ru	телефоны более безопасны во время грозы, но	молния может ударить	человека электрическим током, который стоит	nom_acc	1	молния ударить X	nom	1	V,пе=инф,сов	1	человека	acc	1	0			1	0
lib.rus.ec	незаметно для стражи, сорвалась тоненькая	молния и ударила	эльфа в спину. Его пару раз встряхнуло	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	эльфа	acc	1	1	в спину	в+acc	1	1
lib.rus.ec	видела, но люди поговаривают, вроде как	молния в него ударила	: почернел весь, будто над адским пламенем	nom_prep	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	0
coollib.net	головой, скривилась, сцепила ладони. Синяя	молния с треском ударила	в Вааджа, но чародей поднял меч, и разряд	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Вааджа	в+acc	1	0			1	1
coollib.net	меч и бросился в атаку. Из шара вылетела	молния и ударила	чудовище. В следующее мгновение чародей	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	чудовище	acc	1	0			1	1
7kingdoms.ru	приблизились, молния — яркая, пурпурная, горящая	молния — ударила	с небес в дорнийцев, покрытых сталью, и	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в дорнийцев	в+acc	1	0			1	1
riverflow.ru	голос был уже мне знаком. Даже, если бы	молния меня ударила	, это не было бы более сильным шоком. Вот	nom_acc	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			1	0
myshared.ru	колени, направив их пальцами к земле. Если	молния и ударит	в вас, то она пройдёт по плечам, по рукам	nom_prep	1	молния ударить X	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в вас	в+acc	1	0			1	0
avvakul.ru	как дёрнулся плечом и, говорит, будто меня	молния какая-то ударила	.. "Подожди, я ж могу что-то двигать, часть	nom_acc	1	X молния ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
lordvader.org	сбежал только сейчас? Нелогично. Как будто	молния вдруг ударила	Пиетта. Точно, обычная логика здесь не	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Пиетта	acc	1	0			0	0
pobedish.ru	там поле какое-то, темно. Но тут словно	молния по мне ударила	, я почувствовал что идёт помощь! Ну, как	nom_prep_dat	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	по мне	по+dat	1	0			0	0
kisakkain2014.ucoz.ru	”), потому что в этом году около родника	молния насмерть ударила	девушку Альфию. И за родником стала ухаживать	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	девушку	acc	1	0			1	1
labirintdushi.mybb.ru	какое-нибудь несчастье? – Ты опоздал, сын,	молния меня уже ударила	, – в изумлении пробормотал оборотень, и	nom_acc	1	молния X ударить	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			1	1
nm1925.ru	экстаз длился и длился, Андрыч выл, наверное,	молния в него ударила	особенно сильно. — Андрыч вас всех надул	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
divinecosmos.e-puzzle.ru	обелисками с шумом возникла дугообразная	молния, ударив	меня в грудь! Сила молнии буквально повергла	nom_acc	1	молния ударить X	nom	0	V,пе=прош,деепр,сов	1	меня	acc	1	1	в грудь	в+acc	1	1
budclub.ru	смертоубийство тут было, или как раз его-то	молния и ударила	. Человек вдруг пошевелился и попытался	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	его	acc	1	0			1	1
kvpp.3bb.ru	ходить в грозу опасно! Мало ли что: вдруг	молния в тебя ударит	, или ты столкнёшься с хищником... - Я вполне	nom_prep	1	молния X ударить	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в тебя	в+acc	1	0			1	0
uae.nsknet.ru	из трезубца у него вырвалась натуральная	молния и внезапно ударила	в близлежащее женское тело. Тело задергалось	nom_prep	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в близлежащее женское тело	в+acc	1	0			1	1
mmohelper.ru	И я не знаю как долго мне ждать, чтобы “	молния” ударила	меня снова. Реальная проблема состоит	nom_acc	1	молния ударить X	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	меня	acc	1	0			0	0
asino.4geo.ru	искать убежища под деревом. Там в него и	ударила первая молния	. Когда он упал от удара, молния ударила	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			1	1
dumskaya.net	уроке физкультуры погибла девочка - в нее	ударила молния : молния	бывает не только в дождь, просто неудачное	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			1	1
nkozlov.ru	на сердце, скажут, что в них непременно	ударила бы молния	. Хотя следы садизма и мазохизма присущи	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в них	в+acc	1	0			1	0
oncinema.info	глазах, когда он еще был маленьким. Женщину	ударила шаровая молния	, но в ее смерти обвинили невиновного отца	nom_acc	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	1	Женщину	acc	1	0			1	1
lib.rus.ec	заранее придуманному плану. В дракона сразу	ударила зеленая молния	и какое‑то заклятье. ‑ У дракона вот с	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В дракона	в+acc	1	0			1	1
fargate.ru	подумал что-то вроде «О, Боже, в меня сейчас	ударит карающая молния	»? ДЖЕНСЕН: У моей бабушки прямая линия	nom_prep	1	X ударить молния	nom	1	V,пе=непрош,ед,изъяв,3-л,сов	0	в меня	в+acc	1	0			1	0
fan.lib.ru	взмахнул копьем, с кончика острия в Варнаву	ударила зеленоватая молния	. Тот, впрочем, был уже готов. Последние	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в Варнаву	в+acc	1	0			1	1
litkniga.ru	Девушка подалась вперед, и тотчас в нее	ударила сильнейшая молния	. – Держите ее! – Раздался запоздалый крик	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в нее	в+acc	1	0			1	1
pisatel.forumbb.ru	Смерть'. В охваченного агонией двуглавца	ударила красная молния	. На землю посыпались тысячи опаленных пчёл	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	В охваченного агонией двуглавца	в+acc	1	0			1	1
opentextnn.ru	огонь, но дело тут в том, что сейчас в него	ударила та незримая молния	, которая подстерегает каждого из нас; она-то	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	в него	в+acc	1	0			0	0
3k.mail.ru	выкрикнул заклинание и во второго стража	ударила ветвистая молния	, тот успел отскочить и молния лишь задев	nom_prep	1	X ударить молния	nom	1	V,пе=прош,ед,изъяв,жен,сов	0	во второго стража	в+acc	1	0			1	1
gothic.ag.ru	близости Барьера, и вас может весьма ощутимо	ударить магическая молния	. Направляйтесь по дороге вслед за Диего	nom_acc	1	X ударить молния	nom	1	V,пе=инф,сов	1	вас	acc	1	0			1	0
